=== Regression Results ===
R² (Train): 0.0829
R² (Test): 0.0542
RMSE (Train): 5.0642
RMSE (Test): 5.1763

=== Feature Coefficients ===
                                    Feature  Coefficient  Abs_Coefficient
               onehot__route_variant_370-18     2.836216         2.836216
               onehot__route_variant_418-23     2.738374         2.738374
              onehot__route_variant_422-103     2.427793         2.427793
               onehot__route_variant_418-12     2.426269         2.426269
               onehot__route_variant_t71-68     2.391006         2.391006
               onehot__route_variant_333-42     2.253914         2.253914
               onehot__route_variant_526-20     2.230437         2.230437
               onehot__route_variant_492-35     2.201543         2.201543
               onehot__route_variant_525-49     2.172072         2.172072
               onehot__route_variant_353-13     2.091997         2.091997
               onehot__route_variant_l80-16     2.063689         2.063689
               onehot__route_variant_352-10     1.909339         1.909339
               onehot__route_variant_l85-54     1.835771         1.835771
               onehot__route_variant_l85-63     1.811708         1.811708
                onehot__route_variant_280-6     1.766219         1.766219
               onehot__route_variant_545-85     1.636836         1.636836
               onehot__suburb_dover heights     1.622367         1.622367
               onehot__route_variant_377-68     1.616667         1.616667
               onehot__route_variant_m91-95     1.568986         1.568986
               onehot__route_variant_m20-16     1.564015         1.564015
               onehot__route_variant_410-16     1.557248         1.557248
               onehot__route_variant_373-23     1.532206         1.532206
                onehot__route_variant_894-2     1.524745         1.524745
               onehot__route_variant_348-20     1.484286         1.484286
               onehot__route_variant_391-66     1.450917         1.450917
              onehot__route_variant_506-110     1.450717         1.450717
               onehot__route_variant_l94-27     1.436119         1.436119
               onehot__route_variant_m50-16     1.432423         1.432423
               onehot__route_variant_400-70     1.411406         1.411406
               onehot__route_variant_501-95     1.410302         1.410302
                  onehot__suburb_alexandria     1.372979         1.372979
                 onehot__suburb_mount annan     1.361927         1.361927
              onehot__route_variant_m60-199     1.346541         1.346541
                      onehot__suburb_mascot     1.335469         1.335469
               onehot__route_variant_895-21     1.331504         1.331504
               onehot__route_variant_775-30     1.316247         1.316247
               onehot__route_variant_m54-24     1.307072         1.307072
               onehot__route_variant_197-20     1.297683         1.297683
              onehot__route_variant_m60-163     1.278356         1.278356
                  onehot__suburb_moore park     1.248968         1.248968
               onehot__route_variant_197-19     1.224954         1.224954
               onehot__route_variant_393-15     1.224518         1.224518
              onehot__route_variant_630-153     1.210706         1.210706
               onehot__route_variant_m41-26     1.190550         1.190550
               onehot__route_variant_492-34     1.185036         1.185036
               onehot__route_variant_476-32     1.181258         1.181258
                onehot__suburb_south coogee     1.178199         1.178199
               onehot__route_variant_546-33     1.177287         1.177287
               onehot__route_variant_t74-29     1.141959         1.141959
             onehot__route_variant_620x-199     1.138285         1.138285
              onehot__route_variant_303-123     1.137716         1.137716
                   onehot__suburb_lilyfield     1.137605         1.137605
                   onehot__suburb_edgecliff     1.135950         1.135950
              onehot__route_variant_507-152     1.133616         1.133616
                    onehot__suburb_kirrawee     1.129767         1.129767
              onehot__route_variant_740-161     1.124566         1.124566
                    onehot__suburb_randwick     1.114855         1.114855
                    onehot__suburb_maroubra     1.086711         1.086711
               onehot__route_variant_415-59     1.083613         1.083613
                   onehot__suburb_five dock     1.060211         1.060211
               onehot__route_variant_9055-1     1.056496         1.056496
                      onehot__suburb_dundas     1.055815         1.055815
               onehot__route_variant_584n-2     1.045859         1.045859
              onehot__suburb_cambridge park     1.035136         1.035136
               onehot__route_variant_m92-53     1.027915         1.027915
                onehot__route_variant_317-6     1.026192         1.026192
               onehot__route_variant_6263-3     1.024321         1.024321
                   onehot__suburb_hillsdale     1.022201         1.022201
               onehot__route_variant_438-94     1.020184         1.020184
