=== Regression Results ===
R² (Train): 0.4292
R² (Test): -0.0170
RMSE (Train): 13.9432
RMSE (Test): 37.8120

=== Feature Coefficients ===
                             Feature  Coefficient  Abs_Coefficient
                transit_stop_2000221     4.516896         4.516896
               route_variant_607x-57     3.340776         3.340776
               route_variant_607x-59    -1.345028         1.345028
                 transit_stop_208132     0.907794         0.907794
                transit_stop_2768148    -0.858367         0.858367
                 transit_stop_250538     0.831802         0.831802
                          route_607x     0.829291         0.829291
                transit_stop_2770570     0.740114         0.740114
                 transit_stop_215325    -0.737581         0.737581
                 transit_stop_232768     0.657343         0.657343
                   suburb_cliftleigh     0.657343         0.657343
                  suburb_spring hill     0.508893         0.508893
                 route_variant_597-1     0.496962         0.496962
                       suburb_sydney     0.458470         0.458470
                transit_stop_2147368    -0.445815         0.445815
             transit_stop_sequence_3     0.414575         0.414575
                 transit_stop_211721     0.358951         0.358951
                transit_stop_2155195    -0.339625         0.339625
               route_variant_616x-98     0.312743         0.312743
                 transit_stop_276867     0.312743         0.312743
                transit_stop_2113311     0.250760         0.250760
                 transit_stop_201821    -0.250069         0.250069
                      suburb_berowra     0.247408         0.247408
                 transit_stop_212548     0.244659         0.244659
                       suburb_whalan     0.227109         0.227109
                route_variant_324-54     0.224627         0.224627
                 transit_stop_202715     0.224627         0.224627
                 transit_stop_212512     0.216081         0.216081
                route_variant_l85-54     0.214845         0.214845
                 transit_stop_206012     0.205958         0.205958
                 transit_stop_207750    -0.205033         0.205033
                transit_stop_2065138     0.203915         0.203915
                   suburb_rouse hill    -0.203758         0.203758
                          is_weekend     0.198073         0.198073
                   timetable_min_cos     0.195809         0.195809
              route_variant_620x-199     0.193107         0.193107
                 transit_stop_211718     0.192999         0.192999
                transit_stop_2154114    -0.191038         0.191038
                transit_stop_2113325     0.189244         0.189244
                 transit_stop_215363    -0.188736         0.188736
                route_variant_780-38     0.186880         0.186880
                 route_variant_164-2     0.183596         0.183596
                          route_616x     0.182300         0.182300
                    timetable_hr_cos     0.180863         0.180863
                           route_597     0.176213         0.176213
                 route_variant_65-11     0.176112         0.176112
               route_variant_607x-56    -0.174731         0.174731
                 transit_stop_201113     0.170070         0.170070
                 transit_stop_210239     0.169171         0.169171
                 transit_stop_220812     0.168356         0.168356
                route_variant_492-35     0.161966         0.161966
capacity_bucket_many_seats_available    -0.160849         0.160849
                  direction_outbound     0.160216         0.160216
                route_variant_627-13    -0.159848         0.159848
  bus_configuration_long rigid (cab)     0.158595         0.158595
                 transit_stop_212648    -0.154682         0.154682
                 transit_stop_220487     0.154032         0.154032
                 transit_stop_202025     0.152072         0.152072
                 transit_stop_221035     0.150530         0.150530
                    depot_foundry rd     0.148337         0.148337
                transit_stop_2170224     0.144442         0.144442
                route_variant_370-18     0.142776         0.142776
                transit_stop_2207106     0.140920         0.140920
                transit_stop_2155397    -0.139715         0.139715
       bus_configuration_double deck     0.136923         0.136923
                 transit_stop_203324     0.135124         0.135124
                 transit_stop_210615     0.133811         0.133811
               suburb_baulkham hills    -0.133731         0.133731
            transit_stop_sequence_83     0.132974         0.132974
                 transit_stop_213431     0.132032         0.132032
                  suburb_seven hills    -0.128465         0.128465
                 transit_stop_221911     0.128137         0.128137
                transit_stop_2137117     0.126254         0.126254
                route_variant_525-49     0.124979         0.124979
                route_variant_333-44     0.124722         0.124722
                 transit_stop_204040     0.123015         0.123015
                           route_780     0.121281         0.121281
                transit_stop_2000427     0.120853         0.120853
                           route_164     0.120302         0.120302
                 transit_stop_215315     0.118177         0.118177
                transit_stop_2155222    -0.117158         0.117158
                 transit_stop_215817     0.114145         0.114145
                            route_65     0.113965         0.113965
              route_variant_620x-197    -0.113302         0.113302
                 transit_stop_250542    -0.112169         0.112169
                 transit_stop_212019     0.111566         0.111566
                 transit_stop_213722     0.111075         0.111075
                 transit_stop_200069    -0.110983         0.110983
                route_variant_143-10     0.110250         0.110250
                 transit_stop_201526     0.109758         0.109758
                 transit_stop_200081    -0.109342         0.109342
                 transit_stop_205038     0.108599         0.108599
                transit_stop_2125249    -0.107396         0.107396
                transit_stop_2210263     0.106412         0.106412
               route_variant_802-349     0.106348         0.106348
                 transit_stop_209445     0.106226         0.106226
                transit_stop_2768149     0.106192         0.106192
                 transit_stop_216517     0.105477         0.105477
               route_variant_607x-58     0.104371         0.104371
                 transit_stop_210712    -0.103137         0.103137
            transit_stop_sequence_11     0.102850         0.102850
                 route_variant_265-1     0.102238         0.102238
  capacity_bucket_standing_room_only     0.102223         0.102223
               route_variant_652x-54    -0.102114         0.102114
                 transit_stop_211183     0.101894         0.101894
               route_variant_507-141     0.101894         0.101894
                transit_stop_2170795     0.101575         0.101575
                transit_stop_2768147     0.101120         0.101120
                 transit_stop_202429     0.100939         0.100939
                 transit_stop_213216     0.100817         0.100817
                route_variant_480-44     0.100817         0.100817
                transit_stop_2000420    -0.100433         0.100433
                route_variant_m41-26     0.099756         0.099756
                           route_e87     0.098737         0.098737
                route_variant_e87-21     0.098737         0.098737
                 transit_stop_210397     0.098737         0.098737
                transit_stop_2000136    -0.096779         0.096779
                route_variant_t71-77     0.096144         0.096144
                 transit_stop_202455     0.094332         0.094332
                transit_stop_2137134     0.094170         0.094170
                transit_stop_2101101     0.093867         0.093867
                 transit_stop_219459     0.093656         0.093656
                 transit_stop_219432     0.092085         0.092085
                 transit_stop_210319     0.091988         0.091988
             transit_stop_sequence_7    -0.091974         0.091974
                transit_stop_2155158    -0.091607         0.091607
                   suburb_kellyville    -0.091208         0.091208
                    timetable_hr_sin    -0.089549         0.089549
                 transit_stop_278027    -0.088905         0.088905
                           route_619    -0.088665         0.088665
                 transit_stop_201767     0.088333         0.088333
                transit_stop_2035152     0.088161         0.088161
            transit_stop_sequence_88     0.087062         0.087062
                 transit_stop_211613     0.086722         0.086722
                route_variant_444-42     0.086638         0.086638
               route_variant_642x-55     0.085756         0.085756
                 transit_stop_208739     0.085534         0.085534
                transit_stop_2155252    -0.085304         0.085304
                 transit_stop_212015    -0.084762         0.084762
                 transit_stop_213563     0.084599         0.084599
                           route_611    -0.084515         0.084515
               route_variant_303-132     0.084257         0.084257
                transit_stop_2208134     0.084141         0.084141
                transit_stop_2122170     0.084084         0.084084
                     seated_capacity     0.083806         0.083806
                 transit_stop_220486     0.083241         0.083241
                 transit_stop_203829     0.083241         0.083241
                 transit_stop_206653     0.082875         0.082875
                 transit_stop_210354     0.082685         0.082685
            transit_stop_sequence_14    -0.082581         0.082581
                 transit_stop_201860     0.082374         0.082374
                   depot_glendenning     0.082312         0.082312
                 transit_stop_201750     0.081924         0.081924
               route_variant_t66-109     0.081531         0.081531
                route_variant_197-20     0.081245         0.081245
                 transit_stop_207351     0.081245         0.081245
                 transit_stop_200067    -0.080711         0.080711
                 transit_stop_204668     0.080192         0.080192
                 transit_stop_213182     0.080068         0.080068
                 transit_stop_212237     0.079940         0.079940
                    suburb_edgecliff     0.079628         0.079628
                route_variant_584n-2     0.079227         0.079227
                 transit_stop_209252     0.079227         0.079227
                          route_584n     0.079227         0.079227
 bus_configuration_two door city bus    -0.078744         0.078744
