=== Regression Results ===
R² (Train): 0.2287
R² (Test): 0.0118
RMSE (Train): 4.6440
RMSE (Test): 5.2910

=== Feature Coefficients ===
                                    Feature  Coefficient  Abs_Coefficient
               onehot__route_variant_207-48    56.508799        56.508799
                 onehot__route_variant_57-6    48.794709        48.794709
             onehot__route_variant_620x-206    41.680966        41.680966
               onehot__route_variant_692w-2    36.972149        36.972149
              onehot__route_variant_754-206    33.870166        33.870166
            onehot__route_variant_6042-8109    30.024881        30.024881
               onehot__route_variant_151-22    29.640277        29.640277
               onehot__route_variant_391-66    28.280842        28.280842
               onehot__route_variant_720n-4    27.469305        27.469305
               onehot__route_variant_722-56    27.160290        27.160290
               onehot__route_variant_796w-1    26.601148        26.601148
               onehot__route_variant_702s-1    25.833084        25.833084
              onehot__route_variant_3552-19    24.857731        24.857731
               onehot__route_variant_676e-3    24.549065        24.549065
               onehot__route_variant_584n-2    24.509346        24.509346
               onehot__route_variant_224-16    24.376425        24.376425
                onehot__route_variant_196-9    23.611389        23.611389
              onehot__route_variant_619-104    23.604516        23.604516
            onehot__route_variant_6042-8094    23.203652        23.203652
              onehot__route_variant_625-184    23.163566        23.163566
              onehot__route_variant_1378-15    22.374522        22.374522
               onehot__route_variant_476-32    22.273783        22.273783
              onehot__route_variant_3531-21    21.679038        21.679038
              onehot__route_variant_610-375    21.649140        21.649140
               onehot__route_variant_510-87    21.621427        21.621427
              onehot__route_variant_440-107    21.603805        21.603805
               onehot__route_variant_283-10    21.575999        21.575999
               onehot__route_variant_143-10    21.177709        21.177709
                onehot__route_variant_230-1    21.157041        21.157041
               onehot__route_variant_713e-1    20.720259        20.720259
               onehot__route_variant_492-26    20.551976        20.551976
               onehot__route_variant_608n-1    20.271722        20.271722
               onehot__route_variant_t71-91    19.908382        19.908382
                onehot__route_variant_413-7    19.632289        19.632289
              onehot__route_variant_380-252    19.476755        19.476755
               onehot__route_variant_9055-1    19.415253        19.415253
               onehot__route_variant_728-14    19.107439        19.107439
               onehot__route_variant_6263-3    19.034783        19.034783
                onehot__route_variant_68-90    18.811147        18.811147
               onehot__route_variant_9107-1    18.736293        18.736293
               onehot__route_variant_2077-1    18.332013        18.332013
               onehot__route_variant_526-22    18.074777        18.074777
               onehot__route_variant_487-45    17.478117        17.478117
               onehot__route_variant_303-53    17.304873        17.304873
               onehot__route_variant_sj11-1    17.278509        17.278509
               onehot__route_variant_l85-54    17.078584        17.078584
               onehot__route_variant_151-50    16.989895        16.989895
               onehot__route_variant_324-54    16.962501        16.962501
               onehot__route_variant_615w-1    16.865113        16.865113
                onehot__route_variant_387-8    16.814815        16.814815
              onehot__route_variant_438-101    16.712262        16.712262
               onehot__route_variant_185-12    16.637932        16.637932
               onehot__route_variant_410-16    16.577655        16.577655
               onehot__route_variant_737e-4    16.489881        16.489881
               onehot__route_variant_394-38    16.440773        16.440773
                 onehot__suburb_spring hill    16.340377        16.340377
               onehot__route_variant_426-41    16.303525        16.303525
              onehot__route_variant_309-100    16.156866        16.156866
              onehot__route_variant_3591-14    16.095808        16.095808
           onehot__route_variant_2563-17048    15.996076        15.996076
              onehot__route_variant_757-192    15.972073        15.972073
           onehot__route_variant_6526-11119    15.865451        15.865451
               onehot__route_variant_333-44    15.775937        15.775937
                onehot__route_variant_132-5    15.494200        15.494200
               onehot__route_variant_461-32    15.475106        15.475106
               onehot__route_variant_l78-31    15.280998        15.280998
              onehot__route_variant_804-599    15.152122        15.152122
               onehot__route_variant_668e-3    14.974120        14.974120
           onehot__route_variant_6020-57061    14.927589        14.927589
               onehot__route_variant_619e-1    14.692239        14.692239
               onehot__route_variant_946-54    14.672211        14.672211
                onehot__route_variant_275-1    14.654444        14.654444
               onehot__route_variant_674w-1    14.533709        14.533709
              onehot__route_variant_183-103    14.496152        14.496152
               onehot__route_variant_l80-23    14.492699        14.492699
               onehot__route_variant_553-10    14.436204        14.436204
              onehot__route_variant_394-148    14.077567        14.077567
              onehot__route_variant_t75-237    13.936529        13.936529
                onehot__route_variant_151-8    13.798544        13.798544
               onehot__route_variant_373-23    13.782849        13.782849
               onehot__route_variant_701e-1    13.767290        13.767290
               onehot__route_variant_576s-2    13.744058        13.744058
              onehot__route_variant_651-367    13.677032        13.677032
              onehot__route_variant_380-211    13.570653        13.570653
               onehot__route_variant_343-64    13.547634        13.547634
              onehot__route_variant_804-597    13.532025        13.532025
                onehot__route_variant_170-3    13.389198        13.389198
               onehot__route_variant_440-86    13.366748        13.366748
               onehot__route_variant_776-38    13.298182        13.298182
               onehot__route_variant_637s-1    13.287573        13.287573
               onehot__route_variant_151-49    13.140382        13.140382
               onehot__route_variant_144-14    13.056185        13.056185
                onehot__route_variant_s5-10    13.006176        13.006176
               onehot__route_variant_377-18    12.991567        12.991567
                onehot__route_variant_773-7    12.947337        12.947337
               onehot__route_variant_294-20    12.918726        12.918726
               onehot__route_variant_292-94    12.884765        12.884765
              onehot__route_variant_sb008-1    12.862241        12.862241
               onehot__route_variant_9823-5    12.850723        12.850723
               onehot__route_variant_324-36    12.733448        12.733448
             onehot__route_variant_610x-453    12.698635        12.698635
               onehot__route_variant_750s-1    12.657927        12.657927
                onehot__route_variant_117-2    12.593926        12.593926
              onehot__route_variant_394-154    12.590026        12.590026
               onehot__route_variant_621s-1    12.538224        12.538224
               onehot__route_variant_s619-1    12.481528        12.481528
               onehot__route_variant_610e-1    12.314855        12.314855
               onehot__route_variant_t70-62    12.167660        12.167660
               onehot__route_variant_480-45    12.166934        12.166934
              onehot__route_variant_2003-10    12.088305        12.088305
               onehot__route_variant_615s-1    11.976184        11.976184
               onehot__route_variant_669e-2    11.968781        11.968781
               onehot__route_variant_m20-36    11.907869        11.907869
               onehot__route_variant_3636-8    11.896249        11.896249
              onehot__route_variant_380-266    11.894912        11.894912
               onehot__route_variant_706e-1    11.879245        11.879245
               onehot__route_variant_888-19    11.844915        11.844915
                 onehot__suburb_orangeville    11.813850        11.813850
               onehot__route_variant_461-53    11.731530        11.731530
              onehot__route_variant_t75-235    11.565848        11.565848
               onehot__route_variant_762n-1    11.553770        11.553770
